# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             180   N   0000080c   0000c791   00000810   x15_a5     00000020
             181   N   00000810   00f82023   00000812   ---        --------
             183   N   00000812   00000885   00000816   ---        --------
             184   N   00000816   ff5ff06f   00000818   x17_a7     0000b68d
             185   N   00000818   34202773   0000080c   ---        --------
             189   N   0000080c   0000c791   00000810   x15_a5     0000004d
             190   N   00000810   00f82023   00000812   ---        --------
             192   N   00000812   00000885   00000816   ---        --------
             193   N   00000816   ff5ff06f   00000818   x17_a7     0000b68e
             194   N   00000818   34202773   0000080c   ---        --------
             198   N   0000080c   0000c791   00000810   x15_a5     0000002d
             199   N   00000810   00f82023   00000812   ---        --------
             201   N   00000812   00000885   00000816   ---        --------
             202   N   00000816   ff5ff06f   00000818   x17_a7     0000b68f
             203   N   00000818   34202773   0000080c   ---        --------
             207   N   0000080c   0000c791   00000810   x15_a5     0000006d
             208   N   00000810   00f82023   00000812   ---        --------
             210   N   00000812   00000885   00000816   ---        --------
             211   N   00000816   ff5ff06f   00000818   x17_a7     0000b690
             212   N   00000818   34202773   0000080c   ---        --------
             216   N   0000080c   0000c791   00000810   x15_a5     0000006f
             217   N   00000810   00f82023   00000812   ---        --------
             219   N   00000812   00000885   00000816   ---        --------
             220   N   00000816   ff5ff06f   00000818   x17_a7     0000b691
             221   N   00000818   34202773   0000080c   ---        --------
             225   N   0000080c   0000c791   00000810   x15_a5     00000064
             226   N   00000810   00f82023   00000812   ---        --------
             228   N   00000812   00000885   00000816   ---        --------
             229   N   00000816   ff5ff06f   00000818   x17_a7     0000b692
             230   N   00000818   34202773   0000080c   ---        --------
             234   N   0000080c   0000c791   00000810   x15_a5     00000065
             235   N   00000810   00f82023   00000812   ---        --------
             237   N   00000812   00000885   00000816   ---        --------
             238   N   00000816   ff5ff06f   00000818   x17_a7     0000b693
             239   N   00000818   34202773   0000080c   ---        --------
             243   N   0000080c   0000c791   00000810   x15_a5     00000000
             244   N   00000810   00f82023   0000081c   ---        --------
             247   N   0000081c   000047a1   00000820   x14_a4     0000000b
             248   N   00000820   02f70463   00000822   x15_a5     00000008
             249   N   00000822   000047a5   00000826   ---        --------
             250   N   00000826   02f70163   00000828   x15_a5     00000009
             251   N   00000828   000047ad   0000082c   ---        --------
             252   N   0000082c   00f70e63   0000082e   x15_a5     0000000b
             253   N   0000082e   47adb717   0000084a   ---        --------
             257   N   0000084a   b7170013   0000b720   ---        --------
             260   N   0000b720   9d428293   0000b724   x05_t0     00000720
             261   N   0000b724   00008282   0000b728   x05_t0     000000f4
             262   N   0000b728   00000013   000000f4   ---        --------
             265   N   000000f4   0000006f   000000f8   ---        --------
             266   N   000000f8   ffffffff   000000f8   ---        --------
